index,Category,install_sum
27,GAME,35086024415
11,COMMUNICATION,32647276251
46,PRODUCTIVITY,14176091369
50,SOCIAL,14069867902
54,TOOLS,11452771915
21,FAMILY,10258263505
44,PHOTOGRAPHY,10088247655
39,NEWS_AND_MAGAZINES,7496317760
56,TRAVEL_AND_LOCAL,6868887146
59,VIDEO_PLAYERS,6222002720
